instance,set,ng,mode,cost,paths,time_s,timestamp
B-n45-k6-54,spprclib,16,para_bidir,-120054.000,1,0.136,2026-06-25T20:13:05Z
B-n50-k8-40,spprclib,16,para_bidir,-12832.000,1,0.530,2026-06-25T20:13:05Z
B-n52-k7-15,spprclib,16,para_bidir,-74998.000,1,5.896,2026-06-25T20:13:05Z
B-n57-k7-20,spprclib,16,para_bidir,-5829590.000,1,0.700,2026-06-25T20:13:05Z
B-n66-k9-50,spprclib,16,para_bidir,-26520.000,1,6.872,2026-06-25T20:13:05Z
B-n67-k10-26,spprclib,16,para_bidir,-21924.000,1,1.273,2026-06-25T20:13:05Z
B-n68-k9-65,spprclib,16,para_bidir,-31001.000,1,1.344,2026-06-25T20:13:05Z
B-n78-k10-70,spprclib,16,para_bidir,-45666.000,1,1.842,2026-06-25T20:13:05Z
E-n101-k14-158,spprclib,16,para_bidir,-3590.000,1,0.922,2026-06-25T20:13:05Z
E-n101-k8-291,spprclib,16,para_bidir,-4266.000,1,1.645,2026-06-25T20:13:05Z
E-n76-k10-72,spprclib,16,para_bidir,-25241.000,1,1.042,2026-06-25T20:13:05Z
E-n76-k14-102,spprclib,16,para_bidir,-2328.000,1,0.207,2026-06-25T20:13:05Z
E-n76-k15-40,spprclib,16,para_bidir,-742.000,1,0.192,2026-06-25T20:13:05Z
E-n76-k7-44,spprclib,16,para_bidir,-23458.000,1,1.972,2026-06-25T20:13:05Z
G-n262-k25-316,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
M-n101-k10-97,spprclib,16,para_bidir,-32628.000,1,2.648,2026-06-25T20:13:05Z
M-n121-k7-260,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
M-n151-k12-15,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
M-n200-k16-143,spprclib,16,para_bidir,-392200.000,1,10.164,2026-06-25T20:13:05Z
M-n200-k17-12,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
P-n101-k4-174,spprclib,16,para_bidir,-19847.000,1,19.273,2026-06-25T20:13:05Z
P-n50-k10-24,spprclib,16,para_bidir,-2965.000,1,0.054,2026-06-25T20:13:05Z
P-n50-k7-92,spprclib,16,para_bidir,-2.000,1,0.077,2026-06-25T20:13:05Z
P-n50-k8-19,spprclib,16,para_bidir,-124964.000,1,0.140,2026-06-25T20:13:05Z
P-n51-k10-30,spprclib,16,para_bidir,-2.000,1,0.093,2026-06-25T20:13:05Z
P-n55-k10-44,spprclib,16,para_bidir,-1090.000,1,0.072,2026-06-25T20:13:05Z
P-n55-k15-88,spprclib,16,para_bidir,-11485.000,1,0.063,2026-06-25T20:13:05Z
P-n55-k7-116,spprclib,16,para_bidir,-19023.000,1,0.194,2026-06-25T20:13:05Z
P-n55-k8-260,spprclib,16,para_bidir,-3573.000,1,0.186,2026-06-25T20:13:05Z
P-n60-k10-24,spprclib,16,para_bidir,-15001.000,1,0.159,2026-06-25T20:13:05Z
P-n60-k15-8,spprclib,16,para_bidir,-534.000,1,0.053,2026-06-25T20:13:05Z
P-n65-k10-102,spprclib,16,para_bidir,-2988.000,1,0.094,2026-06-25T20:13:05Z
P-n70-k10-12,spprclib,16,para_bidir,-70317.000,1,0.753,2026-06-25T20:13:05Z
P-n76-k4-41,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
P-n76-k5-16,spprclib,16,para_bidir,-107633.000,1,62.767,2026-06-25T20:13:05Z
A-n54-k7-149,spprclib,24,para_bidir,-12492.000,1,3.049,2026-06-25T20:21:42Z
A-n60-k9-57,spprclib,24,para_bidir,-4946.000,1,2.196,2026-06-25T20:21:42Z
A-n61-k9-80,spprclib,24,para_bidir,-23549.000,1,2.870,2026-06-25T20:21:42Z
A-n62-k8-99,spprclib,24,para_bidir,-35969.000,1,10.178,2026-06-25T20:21:42Z
A-n63-k10-44,spprclib,24,para_bidir,-32561.000,1,1.676,2026-06-25T20:21:42Z
A-n63-k9-157,spprclib,24,para_bidir,-35868.000,1,1.098,2026-06-25T20:21:42Z
A-n64-k9-45,spprclib,24,para_bidir,-50550.000,1,2.011,2026-06-25T20:21:42Z
A-n65-k9-10,spprclib,24,para_bidir,-44002.000,1,2.670,2026-06-25T20:21:42Z
A-n69-k9-42,spprclib,24,para_bidir,-43290.000,1,2.341,2026-06-25T20:21:42Z
A-n80-k10-14,spprclib,24,para_bidir,-105283.000,1,24.840,2026-06-25T20:21:42Z
B-n45-k6-54,spprclib,24,para_bidir,-118756.000,1,0.431,2026-06-25T20:21:42Z
B-n50-k8-40,spprclib,24,para_bidir,-12832.000,1,5.580,2026-06-25T20:21:42Z
B-n52-k7-15,spprclib,24,para_bidir,-74998.000,1,38.641,2026-06-25T20:21:42Z
B-n57-k7-20,spprclib,24,para_bidir,-5829590.000,1,0.783,2026-06-25T20:21:42Z
B-n66-k9-50,spprclib,24,para_bidir,-26520.000,1,37.206,2026-06-25T20:21:42Z
B-n67-k10-26,spprclib,24,para_bidir,-21924.000,1,10.726,2026-06-25T20:21:42Z
B-n68-k9-65,spprclib,24,para_bidir,-31001.000,1,31.826,2026-06-25T20:21:42Z
B-n78-k10-70,spprclib,24,para_bidir,-44333.000,1,96.804,2026-06-25T20:21:42Z
E-n101-k14-158,spprclib,24,para_bidir,-3590.000,1,5.530,2026-06-25T20:21:42Z
E-n101-k8-291,spprclib,24,para_bidir,-4266.000,1,15.237,2026-06-25T20:21:42Z
E-n76-k10-72,spprclib,24,para_bidir,-25241.000,1,9.275,2026-06-25T20:21:42Z
E-n76-k14-102,spprclib,24,para_bidir,-1.000,1,0.897,2026-06-25T20:21:42Z
E-n76-k15-40,spprclib,24,para_bidir,-1.000,1,0.681,2026-06-25T20:21:42Z
E-n76-k7-44,spprclib,24,para_bidir,-22214.000,1,21.307,2026-06-25T20:21:42Z
G-n262-k25-316,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
M-n101-k10-97,spprclib,24,para_bidir,-32628.000,1,39.880,2026-06-25T20:21:42Z
M-n121-k7-260,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
M-n151-k12-15,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
M-n200-k16-143,spprclib,24,para_bidir,-392200.000,1,8.487,2026-06-25T20:21:42Z
M-n200-k17-12,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
P-n101-k4-174,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
P-n50-k10-24,spprclib,24,para_bidir,-2965.000,1,0.072,2026-06-25T20:21:42Z
P-n50-k7-92,spprclib,24,para_bidir,-2.000,1,0.096,2026-06-25T20:21:42Z
P-n50-k8-19,spprclib,24,para_bidir,-110678.000,1,0.252,2026-06-25T20:21:42Z
P-n51-k10-30,spprclib,24,para_bidir,-2.000,1,0.231,2026-06-25T20:21:42Z
P-n55-k10-44,spprclib,24,para_bidir,-1090.000,1,0.100,2026-06-25T20:21:42Z
P-n55-k15-88,spprclib,24,para_bidir,-11485.000,1,0.095,2026-06-25T20:21:42Z
P-n55-k7-116,spprclib,24,para_bidir,-17824.000,1,0.565,2026-06-25T20:21:42Z
P-n55-k8-260,spprclib,24,para_bidir,-3573.000,1,0.642,2026-06-25T20:21:42Z
P-n60-k10-24,spprclib,24,para_bidir,-15001.000,1,0.562,2026-06-25T20:21:42Z
P-n60-k15-8,spprclib,24,para_bidir,-534.000,1,0.065,2026-06-25T20:21:42Z
P-n65-k10-102,spprclib,24,para_bidir,-3.000,1,0.182,2026-06-25T20:21:42Z
P-n70-k10-12,spprclib,24,para_bidir,-70317.000,1,3.605,2026-06-25T20:21:42Z
P-n76-k4-41,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
P-n76-k5-16,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
